,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1.0,1.0,1.0,1.0,1.0,49.0,6.48,13.0,581.8031496062993,1.0,3.8,6.0,7.1,16.9,0.015625,1.174,20.5,7.153,6.805,1.397
1,1.0,1.0,2.0,1.0,2.0,70.0,7.75,35.0,581.8031496062993,2.0,5.8,7.3,6.9,20.0,0.259259259,1.08,19.85,7.882,5.35,6.792
2,1.0,1.0,3.0,1.0,3.0,61.0,6.67,21.0,581.8031496062993,1.0,4.8,5.9,5.8,16.5,-0.11627907,0.933,19.06,6.976,7.421,8.483
3,1.0,1.0,4.0,1.0,4.0,29.0,5.11,14.0,581.8031496062993,1.0,3.5,4.6,5.5,13.6,-0.909090909,1.021,15.81,8.614,4.989,4.787
4,1.0,1.0,5.0,2.0,1.0,32.0,4.94,14.0,581.8031496062993,1.0,3.6,4.4,5.4,13.4,0.052631579,0.712,23.15,5.455,9.432,0.81
5,1.0,1.0,6.0,2.0,2.0,65.5,8.88,32.0,581.8031496062993,5.0,5.9,9.0,8.1,23.0,0.109375,0.813,12.87,6.374,7.592,7.798
6,1.0,1.0,7.0,2.0,3.0,46.0,8.41,24.0,581.8031496062993,2.0,4.6,7.7,7.3,19.6,0.0,0.901,23.72,9.362,9.345,5.074
7,1.0,1.0,8.0,2.0,4.0,43.0,10.13,43.0,581.8031496062993,2.0,6.1,10.9,10.7,27.7,0.047058824,0.717,17.59,9.653,8.122,5.283
8,1.0,1.0,9.0,3.0,1.0,39.5,6.95,30.0,581.8031496062993,2.0,4.3,5.4,6.6,16.3,0.230769231,0.822,20.33,7.341,13.14,2.88
9,1.0,1.0,10.0,3.0,2.0,78.5,10.03,43.0,581.8031496062993,2.0,6.7,12.0,10.4,29.1,-0.153846154,1.251,20.69,6.285,7.725,7.979
10,1.0,1.0,11.0,3.0,3.0,64.5,8.73,41.0,581.8031496062993,4.0,6.2,9.6,8.3,24.1,0.347826087,0.966,18.46,7.027,11.28,7.917
11,1.0,1.0,12.0,3.0,4.0,83.0,8.25,34.0,581.8031496062993,4.0,6.6,7.8,9.4,23.8,0.2,1.324,17.29,5.879,9.197,8.467
